SELECT count(*), s.id, s.shopName
FROM tb_goods_item g
JOIN tb_seller s on g.shopId=s.id
GROUP BY s.id
ORDER BY count(*) desc;

count(*),id,shopName
28,59991203,迪卡侬旗舰店
24,67597230,天猫超市
22,61388483,周大福官方旗舰店
18,100317893,gsung旗舰店
17,112981898,镜拓光学器械旗舰店
15,57301323,龟派车品专营店
12,107729133,意品宠物用品专营店
11,102604099,百秀大药房旗舰店
11,116577452,朝阳林峰专卖店
9,68907729,康爱多大药房旗舰店
8,62572277,魔术8000旗舰店
8,107262009,佰轮汇汽车用品专营店
8,57299898,银时代饰品旗舰店
8,63055412,礼家旗舰店
8,105081171,途虎汽车配件旗舰店
8,104415685,巧厨食品专营店
7,120345955,自然动力旗舰店
7,135555621,海俪恩隐形眼镜旗舰店
7,66410920,奥尔夫旗舰店
7,60510996,爱慕官方旗舰店
7,114278165,百信大药房旗舰店
6,59707722,3M官方旗舰店
6,67512261,茁出乐器专营店
6,129900131,东风标致售后旗舰店
6,108227658,新奇丽旗舰店
6,116480419,奥普集成家居旗舰店
6,60371049,周生生官方旗舰店
5,71084247,上元堂大药房旗舰店
5,128573071,苏宁易购官方旗舰店
5,103885808,胜家旗舰店
5,57301625,林氏木业家具旗舰店
5,62366992,国大药房旗舰店
5,57302374,shes饰品旗舰店
5,67371489,健客大药房旗舰店
5,65988716,爱丽思居家日用旗舰店
5,107322778,康济大药房旗舰店
5,69493117,米莱旗舰店
4,123161594,三雄极光照明旗舰店
4,57299370,车品弘智旗舰店
4,105841940,ora2皓乐齿旗舰店
4,145271505,uvex旗舰店
4,60536798,暴龙官方旗舰店
4,105615044,soyoto索雅特旗舰店
4,101906821,天王旗舰店
4,57299763,飞利浦官方旗舰店
4,108148339,UNDER ARMOUR官方旗舰店
4,124304517,cetaphil丝塔芙旗舰店
4,106213598,医流巴巴大药房旗舰店
4,71539955,优梵艺术旗舰店
4,57300983,艾顿乐器专营店
4,57302992,黄古林旗舰店
4,58422074,红蜻蜓品牌旗舰店
4,66700270,华元宠物用品专营店
4,57302567,aisleep官方旗舰店
4,105217346,中国黄金官方旗舰店
4,70623347,膳魔师旗舰店
4,62763462,六福珠宝官方旗舰店
4,102699437,fjqxz旗舰店
4,66464884,九洲大药房旗舰店
4,69768275,瑞慈体检旗舰店
3,59336398,zippo天空专卖店
3,106448998,都市丽人官方旗舰店
3,73147002,舒展车品专营店
3,108940210,joyourbaby旗舰店
3,60628842,骆驼服饰旗舰店
3,72780167,baginbag家居旗舰店
3,72930080,名龙堂官方旗舰店
3,62485361,德家旗舰店
3,103688358,IPASON攀升官方旗舰店
3,116251156,爱乐宠物用品专营店
3,108489172,七匹狼都业专卖店
3,65693427,张小泉官方旗舰店
3,60203135,华歌尔官方旗舰店
3,71720200,三只松鼠旗舰店
3,58857378,hario研通专卖店
3,63079119,佰丝堂假发旗舰店
3,107289098,泰山乐器旗舰店
3,116212522,康复之家医疗器械旗舰店
3,72750330,hero家居旗舰店
3,67645171,索菲亚家居旗舰店
3,145248182,宝莱特医疗器械旗舰店
3,145312159,曼达尼旗舰店
3,64854895,中宝旗舰店
3,108531715,激升乐器专营店
3,61678650,九阳官方旗舰店
3,62342947,金士顿浩天专卖店
3,66832447,宜然家居旗舰店
3,67342984,永达汽车专营店
3,129473139,宝洁海外旗舰店
3,69007650,双虎家居旗舰店
3,69705195,轩庆食品旗舰店
3,107022071,晨越乐器专营店
3,101363572,京天华盛官方旗舰店
3,66861409,家装e站旗舰店
3,70399353,雅兰官方旗舰店
3,73229391,乐扣乐扣峻佳专卖店
3,64641238,雷朋官方旗舰店
3,68982189,壹号大药房旗舰店
3,104675758,midohouse家居旗舰店
3,104896304,公牛亮牛专卖店
3,109718704,无印良品MUJI官方旗舰店
3,68523913,优加旗舰店
3,66427367,xonix精准专卖店
3,71229032,Alexandre De Paris旗舰店
3,107545260,路施南旗舰店
3,57616696,美的官方旗舰店
3,62624991,十月妈咪旗舰店
3,113261980,卓唯手表专营店
3,102352212,美的空调旗舰店
3,104685003,亿力电器旗舰店
3,109035793,flyco飞科恒隽专卖店
3,102044461,dehub旗舰店
3,66719376,伊泰莲娜官方旗舰店
3,108142586,rocos手表旗舰店
3,145399770,艾斯维娜旗舰店
3,57687871,石头记饰品旗舰店
2,65728825,银千惠旗舰店
2,66417228,薇诺娜化妆品旗舰店
2,105914476,凯乔家居旗舰店
2,71644724,德芙官方旗舰店
2,116106407,万顺昌食品旗舰店
2,107287744,张小泉思优普专卖店
2,62200833,飞利浦京创专卖店
2,101903554,oyj家具旗舰店
2,117736520,创果旗舰店
2,111538130,佳果数码专营店
2,66699715,多妙屋母婴旗舰店
2,66874960,北北家居专营店
2,67154992,艾亚旗舰店
2,145015542,松下中崎专卖店
2,57299180,中礼鲜花速递旗舰店
2,57302190,t400旗舰店
2,100685509,润扬旗舰店
2,110571550,鹏熙汽车用品专营店
2,105168221,慈铭体检康元天成专卖店
2,105282859,ph7若水无华旗舰店
2,112498625,慕乐美运动专营店
2,67586208,九阳伊明专卖店
2,114695386,ammex爱马斯旗舰店
2,108266224,blueair官方旗舰店
2,145885026,结果儿旗舰店
2,148159183,燕塘旗舰店
2,58868939,动力体育用品专营店
2,106328334,justron佳士盾旗舰店
2,116576560,醉清风旗舰店
2,63240547,moco官方旗舰店
